plate_no	week_number	generation	read_number	date	cocktail_no	verified_crystal	image_url	solution_components	class_10way	skin	phase_precip	precip_crystal	clear	phase_crystal	precip	phase	precip_skin	crystal	garbage
X000009786	2	8	X0000097860001200803211303	2008-03-21 13:03:00	C0001		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860001200803211303.jpg	Ammonium bromide;Tris	clear	0.0434	0.0106	0.0594	0.2522	0.0478	0.0902	0.1882	0.0468	0.2432	0.0182
X000009786	2	8	X0000097860005200803211303	2008-03-21 13:03:00	C0002		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860005200803211303.jpg	Ammonium bromide;CAPS	phase	0.0436	0.0166	0.0764	0.2162	0.0494	0.104	0.2194	0.0574	0.2026	0.0144
X000009786	2	8	X0000097860009200803211303	2008-03-21 13:03:00	C0003		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860009200803211303.jpg	Ammonium bromide;Sodium citrate tribasic dihydrate	precip	0.0196	0.0316	0.19	0.0706	0.0222	0.267	0.0826	0.1838	0.118	0.0146
X000009786	2	8	X0000097860013200803211303	2008-03-21 13:03:00	C0004		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860013200803211303.jpg	Ammonium bromide;HEPES	clear	0.0434	0.016	0.0736	0.2278	0.047	0.1082	0.216	0.0616	0.1934	0.013
X000009786	2	8	X0000097860017200803211303	2008-03-21 13:03:00	C0005		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860017200803211303.jpg	Ammonium bromide;Sodium acetate trihydrate	clear	0.0584	0.0134	0.07	0.213	0.054	0.1018	0.2058	0.0616	0.2048	0.0172
X000009786	2	8	X0000097860021200803211303	2008-03-21 13:03:00	C0006		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860021200803211303.jpg	Ammonium bromide;Bis-Tris Propane	clear	0.0438	0.0164	0.0696	0.235	0.0456	0.1082	0.2238	0.0586	0.1812	0.0178
X000009786	2	8	X0000097860025200803211303	2008-03-21 13:03:00	C0007		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860025200803211303.jpg	Ammonium bromide;TAPS	phase	0.0422	0.018	0.0744	0.2222	0.0468	0.1172	0.2284	0.0616	0.1742	0.015
X000009786	2	8	X0000097860029200803211303	2008-03-21 13:03:00	C0008		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860029200803211303.jpg	Ammonium chloride;Sodium citrate tribasic dihydrate	precip	0.0164	0.0294	0.2032	0.0384	0.0258	0.279	0.085	0.2396	0.076	0.0072
X000009786	2	8	X0000097860033200803211303	2008-03-21 13:03:00	C0009		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860033200803211303.jpg	Ammonium chloride;Bis-Tris Propane	clear	0.0458	0.0136	0.0696	0.2288	0.0532	0.0972	0.2024	0.061	0.2116	0.0168
X000009786	2	8	X0000097860037200803211303	2008-03-21 13:03:00	C0010		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860037200803211303.jpg	Ammonium chloride;HEPES	phase	0.0456	0.0142	0.083	0.2106	0.0494	0.1034	0.2256	0.0618	0.1936	0.0128
X000009786	2	8	X0000097860041200803211303	2008-03-21 13:03:00	C0011	1	http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860041200803211303.jpg	Ammonium chloride;Sodium acetate trihydrate	clear	0.0576	0.008	0.0616	0.2422	0.0468	0.0862	0.1862	0.0508	0.2422	0.0184
X000009786	2	8	X0000097860045200803211303	2008-03-21 13:03:00	C0012		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860045200803211303.jpg	Ammonium chloride;TAPS	phase	0.0478	0.015	0.0748	0.2204	0.052	0.0962	0.2258	0.0604	0.191	0.0166
X000009786	2	8	X0000097860193200803211301	2008-03-21 13:01:00	C0013		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860193200803211301.jpg	Ammonium chloride;CAPS	phase	0.0468	0.0138	0.0668	0.2292	0.0514	0.0942	0.2354	0.0548	0.1934	0.0142
X000009786	2	8	X0000097860197200803211301	2008-03-21 13:01:00	C0014		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860197200803211301.jpg	Ammonium chloride;MES monohydrate	phase	0.0512	0.0138	0.0846	0.2092	0.057	0.0984	0.2124	0.057	0.2006	0.0158
X000009786	2	8	X0000097860201200803211301	2008-03-21 13:01:00	C0015		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860201200803211301.jpg	Ammonium chloride;Tris	clear	0.0468	0.0132	0.0714	0.2272	0.0524	0.0974	0.2256	0.0562	0.1944	0.0154
X000009786	2	8	X0000097860205200803211301	2008-03-21 13:01:00	C0016		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860205200803211301.jpg	Ammonium nitrate;Sodium citrate tribasic dihydrate	precip	0.0362	0.0334	0.19	0.0608	0.0296	0.247	0.0852	0.2068	0.1018	0.0092
X000009786	2	8	X0000097860209200803211301	2008-03-21 13:01:00	C0017		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860209200803211301.jpg	Ammonium nitrate;TAPS	clear	0.0392	0.0178	0.0778	0.233	0.048	0.1082	0.2166	0.0606	0.1852	0.0136
X000009786	2	8	X0000097860213200803211301	2008-03-21 13:01:00	C0018		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860213200803211301.jpg	Ammonium nitrate;CAPS	clear	0.036	0.0182	0.0756	0.2304	0.0496	0.1162	0.2188	0.0612	0.1796	0.0144
X000009786	2	8	X0000097860217200803211301	2008-03-21 13:01:00	C0019		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860217200803211301.jpg	Ammonium nitrate;MES monohydrate	crystal	0.0454	0.0138	0.0834	0.2112	0.0632	0.0972	0.1848	0.057	0.2328	0.0112
X000009786	2	8	X0000097860221200803211301	2008-03-21 13:01:00	C0020		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860221200803211301.jpg	Ammonium nitrate;Bis-Tris Propane	clear	0.0442	0.0138	0.0746	0.2298	0.0624	0.093	0.1946	0.0534	0.2182	0.016
X000009786	2	8	X0000097860225200803211300	2008-03-21 13:00:00	C0021		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860225200803211300.jpg	Ammonium nitrate;Tris	phase	0.0448	0.0166	0.0786	0.2114	0.0472	0.1106	0.2186	0.0616	0.1918	0.0188
X000009786	2	8	X0000097860229200803211300	2008-03-21 13:00:00	C0022		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860229200803211300.jpg	Ammonium phosphate monobasic;Tris	phase	0.0548	0.0142	0.0746	0.2122	0.0506	0.1074	0.2158	0.0664	0.1894	0.0146
X000009786	2	8	X0000097860233200803211300	2008-03-21 13:00:00	C0023		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860233200803211300.jpg	Ammonium phosphate monobasic;Sodium citrate tribasic dihydrate	precip	0.0364	0.039	0.1708	0.0364	0.0656	0.177	0.1406	0.1742	0.1508	0.0092
X000009786	2	8	X0000097860237200803211300	2008-03-21 13:00:00	C0024	1	http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860237200803211300.jpg	Ammonium phosphate monobasic;MES monohydrate	crystal	0.0776	0.0168	0.1586	0.0642	0.0848	0.098	0.1418	0.11	0.237	0.0112
X000009786	2	8	X0000097860385200803211258	2008-03-21 12:58:00	C0025	1	http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860385200803211258.jpg	Ammonium phosphate monobasic;CAPS	crystal	0.1066	0.0188	0.1326	0.0952	0.0852	0.1014	0.1398	0.1	0.207	0.0134
X000009786	2	8	X0000097860389200803211258	2008-03-21 12:58:00	C0026	1	http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860389200803211258.jpg	Ammonium phosphate monobasic;Sodium acetate trihydrate	phase	0.047	0.0172	0.0766	0.208	0.052	0.0962	0.2346	0.0598	0.194	0.0146
X000009786	2	8	X0000097860393200803211258	2008-03-21 12:58:00	C0027		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860393200803211258.jpg	Ammonium phosphate monobasic;Bis-Tris Propane	phase	0.0514	0.0154	0.0784	0.211	0.0518	0.094	0.2304	0.0586	0.1928	0.0162
X000009786	2	8	X0000097860397200803211258	2008-03-21 12:58:00	C0028		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860397200803211258.jpg	Ammonium phosphate monobasic;TAPS	phase	0.0562	0.0158	0.0824	0.2008	0.0528	0.1024	0.2116	0.0642	0.1986	0.0152
X000009786	2	8	X0000097860401200803211258	2008-03-21 12:58:00	C0029		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860401200803211258.jpg	Ammonium phosphate dibasic;Bis-Tris Propane	clear	0.0468	0.0158	0.0748	0.2336	0.0496	0.102	0.221	0.0592	0.1838	0.0134
X000009786	2	8	X0000097860405200803211258	2008-03-21 12:58:00	C0030		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860405200803211258.jpg	Ammonium phosphate dibasic;Tris	phase	0.037	0.0332	0.1148	0.0856	0.0728	0.1864	0.2154	0.1216	0.128	0.0052
X000009786	2	8	X0000097860409200803211258	2008-03-21 12:58:00	C0031		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860409200803211258.jpg	Ammonium phosphate dibasic;TAPS	crystal	0.1046	0.0106	0.1006	0.171	0.0592	0.082	0.1324	0.0714	0.2286	0.0396
X000009786	2	8	X0000097860413200803211258	2008-03-21 12:58:00	C0032		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860413200803211258.jpg	Ammonium phosphate dibasic;MES monohydrate	clear	0.0472	0.0122	0.0712	0.2292	0.0554	0.1002	0.2004	0.0606	0.2106	0.013
X000009786	2	8	X0000097860417200803211258	2008-03-21 12:58:00	C0033		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860417200803211258.jpg	Ammonium phosphate dibasic;HEPES	clear	0.0438	0.0146	0.0764	0.218	0.0576	0.108	0.2134	0.0586	0.1962	0.0134
X000009786	2	8	X0000097860421200803211258	2008-03-21 12:58:00	C0034		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860421200803211258.jpg	Ammonium phosphate dibasic;Sodium citrate tribasic dihydrate	clear	0.0412	0.0142	0.0788	0.223	0.0552	0.1044	0.2162	0.0546	0.1984	0.014
X000009786	2	8	X0000097860425200803211258	2008-03-21 12:58:00	C0035		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860425200803211258.jpg	Ammonium phosphate dibasic;Sodium acetate trihydrate	crystal	0.0442	0.0146	0.0854	0.1986	0.063	0.0986	0.207	0.0604	0.2172	0.011
X000009786	2	8	X0000097860429200803211258	2008-03-21 12:58:00	C0036		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860429200803211258.jpg	Ammonium phosphate dibasic;TAPS	crystal	0.051	0.0104	0.0742	0.2324	0.06	0.0874	0.1738	0.0496	0.2492	0.012
X000009786	2	8	X0000097860577200803211256	2008-03-21 12:56:00	C0037		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860577200803211256.jpg	Ammonium sulfate;Sodium citrate tribasic dihydrate	precip	0.0314	0.0266	0.183	0.0876	0.0288	0.227	0.1004	0.1714	0.1298	0.014
X000009786	2	8	X0000097860581200803211256	2008-03-21 12:56:00	C0038		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860581200803211256.jpg	Ammonium sulfate;Sodium acetate trihydrate	crystal	0.0998	0.0164	0.1222	0.1092	0.0648	0.1064	0.1254	0.1114	0.2032	0.0412
X000009786	2	8	X0000097860585200803211256	2008-03-21 12:56:00	C0039		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860585200803211256.jpg	Ammonium sulfate;Bis-Tris Propane	crystal	0.0996	0.0202	0.147	0.065	0.0572	0.1326	0.1168	0.1516	0.1978	0.0122
X000009786	2	8	X0000097860589200803211256	2008-03-21 12:56:00	C0040	1	http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860589200803211256.jpg	Ammonium sulfate;HEPES	crystal	0.074	0.0204	0.1364	0.0894	0.0844	0.1188	0.144	0.0998	0.2228	0.01
X000009786	2	8	X0000097860593200803211256	2008-03-21 12:56:00	C0041	1	http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860593200803211256.jpg	Ammonium sulfate;Tris	crystal	0.061	0.0144	0.1174	0.1198	0.082	0.107	0.172	0.0844	0.2304	0.0116
X000009786	2	8	X0000097860597200803211256	2008-03-21 12:56:00	C0042		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860597200803211256.jpg	Ammonium sulfate;MES monohydrate	phase	0.0498	0.0148	0.0692	0.2254	0.0518	0.1026	0.2306	0.0612	0.181	0.0136
X000009786	2	8	X0000097860601200803211256	2008-03-21 12:56:00	C0043		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860601200803211256.jpg	Ammonium sulfate;TAPS	clear	0.0438	0.0176	0.0766	0.2284	0.0466	0.1074	0.2268	0.063	0.1758	0.014
X000009786	2	8	X0000097860605200803211256	2008-03-21 12:56:00	C0044		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860605200803211256.jpg	Ammonium sulfate;CAPS	phase	0.0434	0.0162	0.07	0.2256	0.048	0.1126	0.2334	0.0606	0.1746	0.0156
X000009786	2	8	X0000097860609200803211256	2008-03-21 12:56:00	C0045		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860609200803211256.jpg	Calcium acetate;Bis-Tris Propane	phase	0.0444	0.016	0.0764	0.2138	0.0494	0.1086	0.2308	0.0626	0.1872	0.0108
X000009786	2	8	X0000097860613200803211255	2008-03-21 12:55:00	C0046		http://xtuition.ccr.buffalo.edu/image-data/X000009786/X000009786200803211243/X0000097860613200803211255.jpg	Calcium acetate;MES monohydrate	clear	0.0556	0.0108	0.0706	0.2312	0.0458	0.0914	0.2048	0.0568	0.2136	0.0194
